tijdstip;locatie;component;waarde;LKI
2015-08-03 03:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;0,86;1
2015-08-03 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;17,89;2
2015-08-03 04:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;0,67;1
2015-08-03 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;1,0;1
2015-08-03 05:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;22,0;3
2015-08-03 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;4,32;1
2015-08-03 06:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;34,58;4
2015-08-03 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;5,37;1
2015-08-03 07:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;55,18;5
2015-08-03 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;17,15;2
2015-08-03 08:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;72,33;6
2015-08-03 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;25,28;3
2015-08-03 09:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;77,92;7
2015-08-03 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;56,08;5
2015-08-03 10:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;13,03;2
2015-08-03 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;9,19;1
2015-08-03 11:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;42,53;4
2015-08-03 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;37,5;4
2015-08-03 12:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;7,95;1
2015-08-03 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;29,35;3
2015-08-03 13:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;9,36;1
2015-08-03 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;9,4;1
2015-08-03 14:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;24,8;3
2015-08-03 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;13,35;2
2015-08-03 15:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;33,47;4
2015-08-03 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;13,61;2
2015-08-03 16:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;25,31;3
2015-08-03 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;16,9;2
2015-08-03 17:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;8,78;1
2015-08-03 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;21,63;3
2015-08-03 18:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;10,1;2
2015-08-03 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO;12,24;2
2015-08-03 19:00:00+02:00;Den Haag-Amsterdamse Veerkade;NO2;20,87;3
