tijdstip;locatie;component;waarde;LKI
2015-08-02 08:00:00+02:00;Den Haag-Bleriotlaan;PM10;1,87;1
2015-08-02 09:00:00+02:00;Den Haag-Bleriotlaan;PM10;6,99;1
2015-08-02 09:00:00+02:00;Den Haag-Bleriotlaan;NO2;35,05;4
2015-08-02 09:00:00+02:00;Den Haag-Bleriotlaan;O3;32,89;3
2015-08-02 09:00:00+02:00;Den Haag-Bleriotlaan;NO;7,92;1
2015-08-02 10:00:00+02:00;Den Haag-Bleriotlaan;NO2;29,98;3
2015-08-02 10:00:00+02:00;Den Haag-Bleriotlaan;O3;46,92;4
2015-08-02 10:00:00+02:00;Den Haag-Bleriotlaan;NO;8,21;1
2015-08-02 11:00:00+02:00;Den Haag-Bleriotlaan;NO;4,83;1
2015-08-02 11:00:00+02:00;Den Haag-Bleriotlaan;NO2;23,11;3
2015-08-02 11:00:00+02:00;Den Haag-Bleriotlaan;O3;69,43;5
2015-08-02 12:00:00+02:00;Den Haag-Bleriotlaan;O3;95,95;6
2015-08-02 12:00:00+02:00;Den Haag-Bleriotlaan;NO;3,04;1
2015-08-02 12:00:00+02:00;Den Haag-Bleriotlaan;NO2;18,68;2
2015-08-02 12:00:00+02:00;Den Haag-Bleriotlaan;PM10;32,59;4
2015-08-02 13:00:00+02:00;Den Haag-Bleriotlaan;NO;2,19;1
2015-08-02 13:00:00+02:00;Den Haag-Bleriotlaan;NO2;15,91;2
2015-08-02 13:00:00+02:00;Den Haag-Bleriotlaan;O3;113,62;7
2015-08-02 13:00:00+02:00;Den Haag-Bleriotlaan;PM10;12,11;2
2015-08-02 14:00:00+02:00;Den Haag-Bleriotlaan;NO;1,91;1
2015-08-02 14:00:00+02:00;Den Haag-Bleriotlaan;PM10;27,47;3
2015-08-02 14:00:00+02:00;Den Haag-Bleriotlaan;O3;119,3;7
2015-08-02 14:00:00+02:00;Den Haag-Bleriotlaan;NO2;15,93;2
2015-08-02 15:00:00+02:00;Den Haag-Bleriotlaan;O3;132,15;7
2015-08-02 15:00:00+02:00;Den Haag-Bleriotlaan;PM10;26,19;3
2015-08-02 15:00:00+02:00;Den Haag-Bleriotlaan;NO;1,17;1
2015-08-02 15:00:00+02:00;Den Haag-Bleriotlaan;NO2;13,17;2
2015-08-02 16:00:00+02:00;Den Haag-Bleriotlaan;O3;145,13;8
2015-08-02 16:00:00+02:00;Den Haag-Bleriotlaan;NO;0,99;1
2015-08-02 16:00:00+02:00;Den Haag-Bleriotlaan;PM10;13,39;2
2015-08-02 16:00:00+02:00;Den Haag-Bleriotlaan;NO2;12,3;2
2015-08-02 17:00:00+02:00;Den Haag-Bleriotlaan;NO;0,63;1
2015-08-02 17:00:00+02:00;Den Haag-Bleriotlaan;O3;145,74;8
2015-08-02 17:00:00+02:00;Den Haag-Bleriotlaan;NO2;8,35;1
2015-08-02 17:00:00+02:00;Den Haag-Bleriotlaan;PM10;14,67;2
2015-08-02 18:00:00+02:00;Den Haag-Bleriotlaan;NO2;7,21;1
2015-08-02 18:00:00+02:00;Den Haag-Bleriotlaan;PM10;24,91;3
2015-08-02 18:00:00+02:00;Den Haag-Bleriotlaan;O3;149,32;8
2015-08-02 18:00:00+02:00;Den Haag-Bleriotlaan;NO;0,5;1
2015-08-02 19:00:00+02:00;Den Haag-Bleriotlaan;NO2;6,8;1
2015-08-02 19:00:00+02:00;Den Haag-Bleriotlaan;NO;0,39;1
2015-08-02 19:00:00+02:00;Den Haag-Bleriotlaan;PM10;26,19;3
2015-08-02 19:00:00+02:00;Den Haag-Bleriotlaan;O3;148,44;8
2015-08-02 20:00:00+02:00;Den Haag-Bleriotlaan;O3;143,08;8
2015-08-02 20:00:00+02:00;Den Haag-Bleriotlaan;NO2;7,77;1
2015-08-02 20:00:00+02:00;Den Haag-Bleriotlaan;NO;0,58;1
2015-08-02 20:00:00+02:00;Den Haag-Bleriotlaan;PM10;24,91;3
2015-08-02 21:00:00+02:00;Den Haag-Bleriotlaan;NO;0,65;1
2015-08-02 21:00:00+02:00;Den Haag-Bleriotlaan;O3;134,18;7
2015-08-02 21:00:00+02:00;Den Haag-Bleriotlaan;NO2;10,57;2
2015-08-02 21:00:00+02:00;Den Haag-Bleriotlaan;PM10;26,19;3
2015-08-02 22:00:00+02:00;Den Haag-Bleriotlaan;PM10;45,39;5
2015-08-02 22:00:00+02:00;Den Haag-Bleriotlaan;NO2;15,77;2
2015-08-02 22:00:00+02:00;Den Haag-Bleriotlaan;O3;117,94;7
2015-08-02 22:00:00+02:00;Den Haag-Bleriotlaan;NO;0,6;1
2015-08-02 23:00:00+02:00;Den Haag-Bleriotlaan;NO2;20,39;3
2015-08-02 23:00:00+02:00;Den Haag-Bleriotlaan;PM10;33,87;4
2015-08-02 23:00:00+02:00;Den Haag-Bleriotlaan;O3;109,69;7
2015-08-02 23:00:00+02:00;Den Haag-Bleriotlaan;NO;0,64;1
2015-08-03 00:00:00+02:00;Den Haag-Bleriotlaan;NO;0,7;1
2015-08-03 00:00:00+02:00;Den Haag-Bleriotlaan;PM10;23,63;3
2015-08-03 00:00:00+02:00;Den Haag-Bleriotlaan;NO2;16,64;2
2015-08-03 00:00:00+02:00;Den Haag-Bleriotlaan;O3;103,42;7
